dia,turno,accion,equipoId,cama
1,mañana,activar,MON-01,7
1,mañana,activar,BIC-005,7
1,mañana,activar,BIC-028,7
1,mañana,activar,BIC-067,7
1,mañana,activar,BIC-023,7
1,mañana,activar,MON-02,1
1,mañana,activar,BIC-027,1
1,mañana,activar,BIC-046,1
1,mañana,activar,BIC-044,1
1,mañana,activar,BIC-062,1
1,mañana,activar,BIC-052,1
1,mañana,activar,BIC-029,1
1,mañana,activar,BIC-025,1
1,mañana,activar,VEN-02,1
1,mañana,activar,MON-03,10
1,mañana,activar,BIC-055,10
1,mañana,activar,BIC-059,10
1,mañana,activar,MON-04,9
1,mañana,activar,BIC-048,9
1,mañana,activar,BIC-001,9
1,mañana,activar,BIC-015,9
1,mañana,activar,BIC-019,9
1,mañana,activar,BIC-037,9
1,mañana,activar,BIC-053,9
1,mañana,activar,BIC-014,9
1,mañana,activar,MON-05,11
1,mañana,activar,BIC-006,11
1,mañana,activar,BIC-063,11
1,mañana,activar,BIC-047,11
1,mañana,activar,BIC-024,11
1,mañana,activar,VEN-12,11
1,mañana,activar,MON-06,2
1,mañana,activar,BIC-007,2
1,mañana,activar,BIC-003,2
1,mañana,activar,BIC-021,2
1,mañana,activar,BIC-030,2
1,mañana,activar,VEN-03,2
1,mañana,activar,MON-07,3
1,mañana,activar,BIC-008,3
1,mañana,activar,BIC-051,3
1,mañana,activar,BIC-061,3
1,mañana,activar,BIC-018,3
1,mañana,activar,VEN-08,3
1,mañana,activar,MON-08,13
1,mañana,activar,BIC-064,13
1,mañana,activar,BIC-049,13
1,mañana,activar,BIC-058,13
1,mañana,activar,BIC-060,13
1,mañana,activar,MON-09,12
1,mañana,activar,BIC-066,12
1,mañana,activar,BIC-054,12
1,mañana,activar,BIC-020,12
1,mañana,activar,BIC-009,12
1,mañana,activar,MON-10,5
1,mañana,activar,BIC-043,5
1,mañana,activar,BIC-035,5
1,mañana,activar,BIC-039,5
1,mañana,activar,BIC-032,5
1,mañana,activar,MON-11,4
1,mañana,activar,BIC-011,4
